Time;S&P
17.09.2019 21:10;2998,36
17.09.2019 21:15;2998,02
17.09.2019 21:20;2998,53
17.09.2019 21:25;3000,22
17.09.2019 21:30;3001,97
17.09.2019 21:35;3003,83
17.09.2019 21:40;3004,73
17.09.2019 21:45;3005,26
17.09.2019 21:50;3005,33
17.09.2019 21:55;3005,49
17.09.2019 22:00;3005,62
17.09.2019 22:05;3005,69
17.09.2019 22:10;3005,7
18.09.2019 15:30;2997,24
18.09.2019 15:35;2998,17
18.09.2019 15:40;2996,92
18.09.2019 15:45;2996,53
18.09.2019 15:50;2996,38
18.09.2019 15:55;2997,33
18.09.2019 16:00;2997,35
18.09.2019 16:05;2998,67
18.09.2019 16:10;2998,54
18.09.2019 16:15;2999,33
18.09.2019 16:20;2999,73
18.09.2019 16:25;3000,66
18.09.2019 16:30;3000,41
18.09.2019 16:35;3000,12
18.09.2019 16:40;2999,86
18.09.2019 16:45;2998,86
18.09.2019 16:50;2997,96
18.09.2019 16:55;2998,41
18.09.2019 17:00;2997,59
18.09.2019 17:05;2997,38
18.09.2019 17:10;2997,58
18.09.2019 17:15;2997,92
18.09.2019 17:20;2997,55
18.09.2019 17:25;2997,21
18.09.2019 17:30;2996,63
18.09.2019 17:35;2996,36
18.09.2019 17:40;2996,35
18.09.2019 17:45;2996,65
18.09.2019 17:50;2996,58
18.09.2019 17:55;2997,56
18.09.2019 18:00;2997,14
18.09.2019 18:05;2997,27
18.09.2019 18:10;2996,7
18.09.2019 18:15;2996,72
18.09.2019 18:20;2997,15
18.09.2019 18:25;2997,37
18.09.2019 18:30;2997,86
18.09.2019 18:35;2997,66
18.09.2019 18:40;2997,04
18.09.2019 18:45;2997,05
18.09.2019 18:50;2996,67
18.09.2019 18:55;2995,7
18.09.2019 19:00;2995,2
18.09.2019 19:05;2994,74
18.09.2019 19:10;2994,58
18.09.2019 19:15;2994,35
18.09.2019 19:20;2994,34
18.09.2019 19:25;2992,5
18.09.2019 19:30;2993,14
18.09.2019 19:35;2994,88
18.09.2019 19:40;2995,45
18.09.2019 19:45;2995,58
18.09.2019 19:50;2997,27
18.09.2019 19:55;2997,25
18.09.2019 20:00;2994,68
18.09.2019 20:05;2993,77
18.09.2019 20:10;2984,19
18.09.2019 20:15;2984,2
18.09.2019 20:20;2984,43
18.09.2019 20:25;2983,42
18.09.2019 20:30;2985,4
18.09.2019 20:35;2982,07
18.09.2019 20:40;2984,68
